domain,pair,nA,nB,input_file,input_sha256,inherited,units,subsampling,alignment,basin,individuals,features,source_record,eligible,coverage_cohort,nA_full,nB_full,paper_reported_B,B_fragments,A_author_chain,B_author_chain,model,existing_prepared,blocked_reason,gap_policy,source_coordinate_rounding_A,source_rigid_distance_discrepancies,source_files,s_A,s_B,delta3,delta1,delta2,source_hashes,alignment_record,standardized_features,size_band,selection_score,exclusion_reason,max_length,length_ratio,size_quartile,ratio_group,stratum,reused_prior_storms,reused_current_storms,selection_order,tie_pool_size,pair_alias
hurricane,AL091944__AL031917,29,35,output\paper_v1\hurricane_final_20\inputs\hurricane_AL091944__AL031917.npz,db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d,,projected km,none; every supplied track vertex,unchanged shared basin frame,atlantic,"['AL091944', 'AL031917']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/AL091944.txt', 'data/hurricanes/AL031917.txt']",243.97413644736525,221.45530556928594,780.7843688813,121.98706822368263,110.72765278464297,"{'data/hurricanes/AL091944.txt': '9aee5d4fc27210025337b11eceaced69ae31cd967bbf4450202311c58d4e2f63', 'data/hurricanes/AL031917.txt': 'de2e1ab6a12efcfa4e3a605f79397c8c0cb06f61ef11a4d4e48fcfff2175e8a9'}",,,,,,35.0,1.206896551724138,2.0,balanced,Q2_balanced,[],[],2.0,550.0,H15
hurricane,EP101985__EP151985,37,38,output\paper_v1\hurricane_final_20\inputs\hurricane_EP101985__EP151985.npz,198a2064c5a3b34d6c35ed1796113bb59541fac26e1f7574831025b960c8a87f,,projected km,none; every supplied track vertex,unchanged shared basin frame,pacific,"['EP101985', 'EP151985']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/EP101985.txt', 'data/hurricanes/EP151985.txt']",95.61374475722793,102.08406866213599,406.85909889789855,47.80687237861397,51.042034331067995,"{'data/hurricanes/EP101985.txt': '10002436bc6a641cb9c98c075553b83a8ae2829563b1fe785c520af65072c9cb', 'data/hurricanes/EP151985.txt': 'f576c498a1d444d05a8821cf77e8aa50d43e393a436176b9089c9fdcf5c4cd8f'}",,,,,,38.0,1.027027027027027,3.0,balanced,Q3_balanced,[],[],3.0,360.0,H16
hurricane,EP031965__EP141991,25,42,output\paper_v1\hurricane_final_20\inputs\hurricane_EP031965__EP141991.npz,5f0259d773d05eb0b0d9aa87bec1a403edc2ebe426ac37986dc304fb3a2b70cf,,projected km,none; every supplied track vertex,unchanged shared basin frame,pacific,"['EP031965', 'EP141991']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/EP031965.txt', 'data/hurricanes/EP141991.txt']",97.41729073726759,70.90586329093748,434.6913296711127,48.708645368633796,35.45293164546874,"{'data/hurricanes/EP031965.txt': 'a9598aca93f815e5cfba847a947f7c25e6de9e8498cbdcf321549cd2f24932ff', 'data/hurricanes/EP141991.txt': '334be198ce35c173412fe0149b69f64c0d66dd677a257fc9d5eaaaf0ca2c4bc7'}",,,,,,42.0,1.68,3.0,unequal,Q3_unequal,[],[],4.0,76.0,H17
hurricane,AL061921__AL101926,43,57,output\paper_v1\hurricane_final_20\inputs\hurricane_AL061921__AL101926.npz,075b62ae7810f20aaee5716a08592d9c34d29821f5cad9ce1f78dbd209b3c638,,projected km,none; every supplied track vertex,unchanged shared basin frame,atlantic,"['AL061921', 'AL101926']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/AL061921.txt', 'data/hurricanes/AL101926.txt']",117.77519106228858,125.66092025542433,1227.852607303796,58.88759553114429,62.830460127712165,"{'data/hurricanes/AL061921.txt': '8610de1d14141fdc2173bfa49ad77d40820e40cc08a3be2effec2956bd1a2359', 'data/hurricanes/AL101926.txt': '2e706cfe82da7b4d32505abbe14675a122d6d0b0ac2767e4fd7ebc45f235353f'}",,,,,,57.0,1.3255813953488371,4.0,balanced,Q4_balanced,[],[],5.0,336.0,H18
hurricane,EP041976__EP041984,30,48,output\paper_v1\hurricane_final_20\inputs\hurricane_EP041976__EP041984.npz,2b36cf5f84c94603b94c277ea7970c2e6cf82612160bc26c97cfa9ab20d6faf9,,projected km,none; every supplied track vertex,unchanged shared basin frame,pacific,"['EP041976', 'EP041984']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/EP041976.txt', 'data/hurricanes/EP041984.txt']",167.2880410211289,100.78153709586026,436.5324275155856,83.64402051056445,50.39076854793013,"{'data/hurricanes/EP041976.txt': '814c9aa52e57baa932c561d021a20fdb6241887fea9e875996e41bef4bfbe80a', 'data/hurricanes/EP041984.txt': 'd0b21340215c16530002b98f76e6204ce17d620fc2d1099f49f291428618da85'}",,,,,,48.0,1.6,4.0,unequal,Q4_unequal,[],[],6.0,164.0,H19
hurricane,EP081967__EP101980,25,26,output\paper_v1\hurricane_final_20\inputs\hurricane_EP081967__EP101980.npz,0946514b39933f9ee0d804e81a1a0d4ec1b8e11aaa85884cc2187bcb3030e97c,,projected km,none; every supplied track vertex,unchanged shared basin frame,pacific,"['EP081967', 'EP101980']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/EP081967.txt', 'data/hurricanes/EP101980.txt']",116.99652378310414,112.49033955577293,275.4479155672447,58.49826189155207,56.24516977788647,"{'data/hurricanes/EP081967.txt': '8ef403b55fbd3405bf953e4bdf8901c8b6a5e3171bcdd646fa311b0362f5772b', 'data/hurricanes/EP101980.txt': '6bbc21603fbc138c3b91c3ee8beb1d8628e51a58289e7528f12fc11a5be40688'}",,,,,,26.0,1.04,1.0,balanced,Q1_balanced,[],[],7.0,505.0,H20
hurricane,EP031994__EP031978,29,35,output\paper_v1\hurricane_final_20\inputs\hurricane_EP031994__EP031978.npz,1d28bc38a35762d764489667768030a48b0d3b023d8e11cf8dd1e994b766d591,,projected km,none; every supplied track vertex,unchanged shared basin frame,pacific,"['EP031994', 'EP031978']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/EP031994.txt', 'data/hurricanes/EP031978.txt']",111.91826950362963,101.85169118911543,569.7520381273594,55.959134751814815,50.925845594557714,"{'data/hurricanes/EP031994.txt': '64d017d9f63a482d5571dc2750ed5f987c0eeeedf4df9efc46674f5f103435c7', 'data/hurricanes/EP031978.txt': 'ad8d7f1cf36a03c3b97c10e854998193fc1044b8e23b9e906c78d626dd766570'}",,,,,,35.0,1.206896551724138,2.0,balanced,Q2_balanced,[],[],8.0,525.0,H21
hurricane,EP021985__EP181984,41,36,output\paper_v1\hurricane_final_20\inputs\hurricane_EP021985__EP181984.npz,55cb19cbe18e96961f064d76de7fb24a5594e61c951d573b5bcccb3346af57b6,,projected km,none; every supplied track vertex,unchanged shared basin frame,pacific,"['EP021985', 'EP181984']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/EP021985.txt', 'data/hurricanes/EP181984.txt']",86.75751170865064,73.17506704154135,472.3424551981962,43.37875585432532,36.58753352077068,"{'data/hurricanes/EP021985.txt': 'd41ad8efa2a5f3c402e1c16a087ad4057f50daf5346c0d2bd494f180ae56b7c8', 'data/hurricanes/EP181984.txt': 'ff43cdbbbb9bc1e4e255c8ba5486c47b06d3da7351141ecb76ce868e32058063'}",,,,,,41.0,1.1388888888888888,3.0,balanced,Q3_balanced,[],[],9.0,334.0,H22
hurricane,AL101886__AL051950,25,38,output\paper_v1\hurricane_final_20\inputs\hurricane_AL101886__AL051950.npz,f25f94d3a701d9a25b14646dc7b39b615e35be775c28cac17d3aa907bd4c8de6,,projected km,none; every supplied track vertex,unchanged shared basin frame,atlantic,"['AL101886', 'AL051950']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/AL101886.txt', 'data/hurricanes/AL051950.txt']",86.94859781805319,71.52626353880962,820.0003849815315,43.474298909026594,35.76313176940481,"{'data/hurricanes/AL101886.txt': 'ca06f85d1ab602472be4422c307e61e726651eac9023778c6bc34f78fbcde960', 'data/hurricanes/AL051950.txt': 'a40211538272b8ca8b071e3a1dda26463c92b9c0c03399f5cc805594aec0e30b'}",,,,,,38.0,1.52,3.0,unequal,Q3_unequal,[],[],10.0,69.0,H23
hurricane,AL091947__AL011953,36,53,output\paper_v1\hurricane_final_20\inputs\hurricane_AL091947__AL011953.npz,4031a8fd96ff75fa97fa22b47e517942f0d69918d5e7e816aeefb1b31df04589,,projected km,none; every supplied track vertex,unchanged shared basin frame,atlantic,"['AL091947', 'AL011953']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/AL091947.txt', 'data/hurricanes/AL011953.txt']",104.59023871659679,65.83152079828271,1009.5226098832308,52.29511935829839,32.915760399141355,"{'data/hurricanes/AL091947.txt': '4b9182a971172f261c70d16fc35ac1a94c600300d8e23bc53f341972495571d7', 'data/hurricanes/AL011953.txt': '634630e285264108d751d3a9b6dc3901fe0357d1e2a1df94ea659b0bc6c3fdf2'}",,,,,,53.0,1.4722222222222223,4.0,balanced,Q4_balanced,[],[],11.0,327.0,H24
hurricane,EP072011__EP092011,26,50,output\paper_v1\hurricane_final_20\inputs\hurricane_EP072011__EP092011.npz,713b56e638ff3d937cd45d4d877fd079194042f824e2bf0397f43daf6fc357df,,projected km,none; every supplied track vertex,unchanged shared basin frame,pacific,"['EP072011', 'EP092011']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/EP072011.txt', 'data/hurricanes/EP092011.txt']",122.78021492356085,77.8484468764912,401.5857984622588,61.390107461780424,38.9242234382456,"{'data/hurricanes/EP072011.txt': 'df69e2cb6a029f39c9fbcc8823e6e1954b192f32a189c3b9f3fd207b432ab00e', 'data/hurricanes/EP092011.txt': 'd365e359375b1995928b85720a3aa412f21cb5d8f013722c3e6f02f16f8fdab4'}",,,,,,50.0,1.9230769230769231,4.0,unequal,Q4_unequal,[],[],12.0,158.0,H25
hurricane,AL171980__AL112009,25,31,output\paper_v1\hurricane_final_20\inputs\hurricane_AL171980__AL112009.npz,5de1fe8932de570845156bf23d5f0b282c1e5938a22df37324c8f517a6fe250f,,projected km,none; every supplied track vertex,unchanged shared basin frame,atlantic,"['AL171980', 'AL112009']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/AL171980.txt', 'data/hurricanes/AL112009.txt']",92.32473359636606,91.4119002334314,581.976309646647,46.16236679818303,45.7059501167157,"{'data/hurricanes/AL171980.txt': '9c8e72cb05da00755af4b8367b2c946947cfb000d60480c24803933a9effd370', 'data/hurricanes/AL112009.txt': '0ba6f2898305cf9caab178a079b145ad819e623dcc8d224c45a8fb27626b7f70'}",,,,,,31.0,1.24,1.0,balanced,Q1_balanced,[],[],13.0,449.0,H26
hurricane,AL102008__AL061989,33,36,output\paper_v1\hurricane_final_20\inputs\hurricane_AL102008__AL061989.npz,03522b5f4b1b9d80013b557a1f4bb0e1c36cd495e0a8eba67de65ca6b2db84e8,,projected km,none; every supplied track vertex,unchanged shared basin frame,atlantic,"['AL102008', 'AL061989']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/AL102008.txt', 'data/hurricanes/AL061989.txt']",110.9811797488296,133.18694000677533,700.5236944883802,55.4905898744148,66.59347000338767,"{'data/hurricanes/AL102008.txt': 'e5a4b07af445d06bb31921e6dc1460893ae1d98607b735cd0af783b3a3855d63', 'data/hurricanes/AL061989.txt': 'df6fd888e9e05ea453f13a8963813fe69b637987de95d6cf10b4bbef3a917b6b'}",,,,,,36.0,1.0909090909090908,2.0,balanced,Q2_balanced,[],[],14.0,487.0,H27
hurricane,EP102002__EP042014,31,42,output\paper_v1\hurricane_final_20\inputs\hurricane_EP102002__EP042014.npz,c7e12ce495215ad4ea07cd2563504d9596457095f47999d9c2f0a69fe0758f68,,projected km,none; every supplied track vertex,unchanged shared basin frame,pacific,"['EP102002', 'EP042014']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/EP102002.txt', 'data/hurricanes/EP042014.txt']",91.96534968220297,66.08577732908188,408.6856459982538,45.982674841101485,33.04288866454094,"{'data/hurricanes/EP102002.txt': '5d3f8d3ffc493b7fd34e73463ec1b0f9ec8a4ec8b00d8dd26b0d40f5218db0cc', 'data/hurricanes/EP042014.txt': '4c139c95d9dab922e236517e57171f9bc2133129f2c3254d7bc9c559bee119fa'}",,,,,,42.0,1.3548387096774193,3.0,balanced,Q3_balanced,[],[],15.0,326.0,H28
hurricane,EP032000__EP041975,27,41,output\paper_v1\hurricane_final_20\inputs\hurricane_EP032000__EP041975.npz,4f61048028e7f2e99bbb36e29c5c6f0bd6dad7d99299932738a2ec913d7ea67a,,projected km,none; every supplied track vertex,unchanged shared basin frame,pacific,"['EP032000', 'EP041975']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/EP032000.txt', 'data/hurricanes/EP041975.txt']",109.48908961473481,85.7679098950281,654.008303422923,54.744544807367404,42.88395494751405,"{'data/hurricanes/EP032000.txt': '363189e1a492d50e87171d624bd4ab2c8991d31cde39273e74ddd569212619ed', 'data/hurricanes/EP041975.txt': '0ecaaf0aab8a6aa9efe8a525b5041d2ea85bfaa2463789255f6c6c44057a54a2'}",,,,,,41.0,1.5185185185185186,3.0,unequal,Q3_unequal,[],[],16.0,65.0,H29
hurricane,EP081993__EP121989,56,45,output\paper_v1\hurricane_final_20\inputs\hurricane_EP081993__EP121989.npz,4ac28373bff6ea6afc5eb44c48cbbb5bb19ff12c6caef7db2d6707a2952d1834,,projected km,none; every supplied track vertex,unchanged shared basin frame,pacific,"['EP081993', 'EP121989']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/EP081993.txt', 'data/hurricanes/EP121989.txt']",79.16976957910924,105.54077417664948,457.382013117886,39.58488478955462,52.77038708832474,"{'data/hurricanes/EP081993.txt': 'be2adc3181bda94176e758d15152b48b3babc0bef3a329f1d1f4365d660fee7b', 'data/hurricanes/EP121989.txt': 'd5ad4915c6c49b06495d9cdd535f416339cff9384383ad06d02231d90ccb4379'}",,,,,,56.0,1.2444444444444445,4.0,balanced,Q4_balanced,[],[],17.0,319.0,H30
hurricane,EP032006__EP201992,27,69,output\paper_v1\hurricane_final_20\inputs\hurricane_EP032006__EP201992.npz,a628134f9a46e9e7913c849105762a52bc7f7dbbf60d096ab68d220e7e118227,,projected km,none; every supplied track vertex,unchanged shared basin frame,pacific,"['EP032006', 'EP201992']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/EP032006.txt', 'data/hurricanes/EP201992.txt']",148.10669479379743,72.90513429127796,950.7159634797607,74.05334739689872,36.45256714563898,"{'data/hurricanes/EP032006.txt': '787779916dea7cec0f1f5b8bf8053425b3b5edf9a261e6f904a5a7e1cb906f9e', 'data/hurricanes/EP201992.txt': '9a0ba75db4e131cd64c961f16d92b2702219c2e7d5b424c780310c2bdbfd4c79'}",,,,,,69.0,2.5555555555555554,4.0,unequal,Q4_unequal,[],[],18.0,138.0,H31
hurricane,AL022011__AL071977,29,27,output\paper_v1\hurricane_final_20\inputs\hurricane_AL022011__AL071977.npz,a69c2f5a77f296d5f57f506e9da0631ddc262a181f84e681436a40bcac9cca41,,projected km,none; every supplied track vertex,unchanged shared basin frame,atlantic,"['AL022011', 'AL071977']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/AL022011.txt', 'data/hurricanes/AL071977.txt']",103.68780553888685,112.64014398527024,670.4440211411239,51.843902769443424,56.32007199263512,"{'data/hurricanes/AL022011.txt': '9c6312957c7503ab396c600883b816939d8f59877b27ef51c0ad3527ec12521c', 'data/hurricanes/AL071977.txt': '45ba5b14145317ed9de5a75b28c3fd741703290778a6eb176ae563c26177c88a'}",,,,,,29.0,1.0740740740740742,1.0,balanced,Q1_balanced,[],[],19.0,426.0,H32
hurricane,EP101972__EP141967,29,37,output\paper_v1\hurricane_final_20\inputs\hurricane_EP101972__EP141967.npz,1136560945b718482100845d30314a5c97fde7b5a2ae428ea6275b9cbb457171,,projected km,none; every supplied track vertex,unchanged shared basin frame,pacific,"['EP101972', 'EP141967']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/EP101972.txt', 'data/hurricanes/EP141967.txt']",106.36766969073042,62.771052154136314,529.4905368904152,53.18383484536521,31.385526077068157,"{'data/hurricanes/EP101972.txt': 'd6b29d25fe039e03326fdc33dc05529ab8981be6d5ed75e83aab8a34f24241ac', 'data/hurricanes/EP141967.txt': 'bae50e7e3bc7dddba67ad380fbfc2389c3c2920d4940660a05178b81c1529c5c'}",,,,,,37.0,1.2758620689655173,2.0,balanced,Q2_balanced,[],[],20.0,474.0,H33
