pair,alias,domain,alpha,nA,nB,delta1,delta2,delta3,units,input_sha256,attempt_path,status,subsequent_search_resource_limited,common_comparison_set,preprocessing,configuration_sha256,aA,bound_A,percentage_A,exact_fraction_A,construction_completed_A,construction_evidence_A,count_source_A,count_field_A,count_source_sha256_A,aB,bound_B,percentage_B,exact_fraction_B,construction_completed_B,construction_evidence_B,count_source_B,count_field_B,count_source_sha256_B
AL102008__AL061989,H27,hurricane,0.5,33,36,55.490589874414802,66.593470003387665,700.52369448838022,projected km,03522b5f4b1b9d80013b557a1f4bb0e1c36cd495e0a8eba67de65ca6b2db84e8,output/paper_v1/hurricane_final_20/slots/54/attempts/final20_54_5781486474d142eca33fd1ac3ecba66e,validated,False,True,Full supplied hurricane tracks; no additional subsampling,0f53f3d092e64be41b424fc012f05b28a7f8a1487717b744bbd6c25bb5239960,64,2112,3.0303030303030303,6400/2112,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/54/attempts/final20_54_5781486474d142eca33fd1ac3ecba66e/raw_solver.json,observation.single_graph_A.auxiliary,967d45ea6afc16f59ad04c7a46416d7fdd7e7f0492ae96475c0383dd61abcb68,83,2520,3.2936507936507935,8300/2520,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/54/attempts/final20_54_5781486474d142eca33fd1ac3ecba66e/raw_solver.json,observation.single_graph_B.auxiliary,967d45ea6afc16f59ad04c7a46416d7fdd7e7f0492ae96475c0383dd61abcb68
EP102002__EP042014,H28,hurricane,0.5,31,42,45.982674841101485,33.042888664540939,408.68564599825379,projected km,c7e12ce495215ad4ea07cd2563504d9596457095f47999d9c2f0a69fe0758f68,output/paper_v1/hurricane_final_20/slots/57/attempts/final20_57_3b593e011f1945c8b0d3ed5a26fd0127,validated,False,True,Full supplied hurricane tracks; no additional subsampling,64d63f2a88e4fcd3003eb2a2a0d49c500ad9117c00265fb285774269b507e747,60,1860,3.225806451612903,6000/1860,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/57/attempts/final20_57_3b593e011f1945c8b0d3ed5a26fd0127/raw_solver.json,observation.single_graph_A.auxiliary,0105b27332a2cad7422f831c7877c38821d383f77faee19e842569f1a1af88d7,80,3444,2.3228803716608595,8000/3444,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/57/attempts/final20_57_3b593e011f1945c8b0d3ed5a26fd0127/raw_solver.json,observation.single_graph_B.auxiliary,0105b27332a2cad7422f831c7877c38821d383f77faee19e842569f1a1af88d7
EP032000__EP041975,H29,hurricane,0.5,27,41,54.744544807367411,42.883954947514049,654.00830342292295,projected km,4f61048028e7f2e99bbb36e29c5c6f0bd6dad7d99299932738a2ec913d7ea67a,output/paper_v1/hurricane_final_20/slots/64/attempts/final20_64_4b3df03886be47cba638b38fd36fc6e7,validated,False,True,Full supplied hurricane tracks; no additional subsampling,7d6f9f899f9e118c57eb3cfdb5fafb9e1bd67d248c667e5838f0d477e9fbf6db,52,1404,3.7037037037037037,5200/1404,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/64/attempts/final20_64_4b3df03886be47cba638b38fd36fc6e7/raw_solver.json,observation.single_graph_A.auxiliary,b181aa56f31ba47f67adc94de538a09ea2023d67befc8f0fcdd189d9a630a7f7,79,3280,2.4085365853658538,7900/3280,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/64/attempts/final20_64_4b3df03886be47cba638b38fd36fc6e7/raw_solver.json,observation.single_graph_B.auxiliary,b181aa56f31ba47f67adc94de538a09ea2023d67befc8f0fcdd189d9a630a7f7
EP081993__EP121989,H30,hurricane,0.5,56,45,39.584884789554621,52.770387088324739,457.382013117886,projected km,4ac28373bff6ea6afc5eb44c48cbbb5bb19ff12c6caef7db2d6707a2952d1834,output/paper_v1/hurricane_final_20/slots/67/attempts/final20_67_b9613bc87fb644248f17fad70973d282,validated,False,True,Full supplied hurricane tracks; no additional subsampling,75fedd0de9c167b9a6cdfcb59b56f32c7bc571974972f80c4f67a094615d66b0,110,6160,1.7857142857142858,11000/6160,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/67/attempts/final20_67_b9613bc87fb644248f17fad70973d282/raw_solver.json,observation.single_graph_A.auxiliary,a9744ae6b270149c4f8af0e1f1528ca565090704b3e47a9ea8f33c3a127512a4,87,3960,2.1969696969696968,8700/3960,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/67/attempts/final20_67_b9613bc87fb644248f17fad70973d282/raw_solver.json,observation.single_graph_B.auxiliary,a9744ae6b270149c4f8af0e1f1528ca565090704b3e47a9ea8f33c3a127512a4
EP032006__EP201992,H31,hurricane,0.5,27,69,74.053347396898715,36.45256714563898,950.71596347976083,projected km,a628134f9a46e9e7913c849105762a52bc7f7dbbf60d096ab68d220e7e118227,output/paper_v1/hurricane_final_20/slots/70/attempts/final20_70_20db140a05394c369c27539bd6baa588,validated,False,True,Full supplied hurricane tracks; no additional subsampling,0e1fa5c806658a5fe3e51f2afb628c4064660bdb7054c94fd08028c88480d6e7,52,1404,3.7037037037037037,5200/1404,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/70/attempts/final20_70_20db140a05394c369c27539bd6baa588/raw_solver.json,observation.single_graph_A.auxiliary,5c7d1209e65bf7ef26f7005412e0224e38d03bbe05fdeddb04d7a3f622e89baf,140,9384,1.4919011082693947,14000/9384,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/70/attempts/final20_70_20db140a05394c369c27539bd6baa588/raw_solver.json,observation.single_graph_B.auxiliary,5c7d1209e65bf7ef26f7005412e0224e38d03bbe05fdeddb04d7a3f622e89baf
AL022011__AL071977,H32,hurricane,0.5,29,27,51.843902769443424,56.320071992635121,670.44402114112393,projected km,a69c2f5a77f296d5f57f506e9da0631ddc262a181f84e681436a40bcac9cca41,output/paper_v1/hurricane_final_20/slots/73/attempts/final20_73_b1dda7d0a6b44fad905cf9786dcf9244,validated,False,True,Full supplied hurricane tracks; no additional subsampling,0156a63107d3d030427ae445b9381258138fa99fecd2f8f59a91496580fcc25e,56,1624,3.4482758620689653,5600/1624,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/73/attempts/final20_73_b1dda7d0a6b44fad905cf9786dcf9244/raw_solver.json,observation.single_graph_A.auxiliary,11b6c94d00cac88cac2550f80f11fd839acf0fe2c09267464f4eb624e2c9a6fe,56,1404,3.9886039886039888,5600/1404,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/73/attempts/final20_73_b1dda7d0a6b44fad905cf9786dcf9244/raw_solver.json,observation.single_graph_B.auxiliary,11b6c94d00cac88cac2550f80f11fd839acf0fe2c09267464f4eb624e2c9a6fe
EP101972__EP141967,H33,hurricane,0.5,29,37,53.183834845365212,31.38552607706816,529.49053689041523,projected km,1136560945b718482100845d30314a5c97fde7b5a2ae428ea6275b9cbb457171,output/paper_v1/hurricane_final_20/slots/80/attempts/final20_80_bf6c654f7b404c9f8617a00187e97b14,validated,False,True,Full supplied hurricane tracks; no additional subsampling,1f932ac59ab1aee70050279b11489dc32a5faff44bdefb2ac159fe56a4d66be2,56,1624,3.4482758620689653,5600/1624,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/80/attempts/final20_80_bf6c654f7b404c9f8617a00187e97b14/raw_solver.json,observation.single_graph_A.auxiliary,ed1b47fdb191536cad94cd54be3a6422eb1c30b0993ef6a22e1126a1f9ec1623,72,2664,2.7027027027027026,7200/2664,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/80/attempts/final20_80_bf6c654f7b404c9f8617a00187e97b14/raw_solver.json,observation.single_graph_B.auxiliary,ed1b47fdb191536cad94cd54be3a6422eb1c30b0993ef6a22e1126a1f9ec1623
1o7j.a__1d9q.d,P1,protein,0.5,22,22,9.4764991396827245,10.101752088004297,47.964482974384289,angstrom,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,output/paper_v1/unified_pilot_results/slots/19/attempts/slot19_67a95ddd348341d08fd3a07c99191bd7,validated,False,True,w=16; endpoint-preserving protein subsampling,eb26eb311ea0b414095ca16e978e1dccfbf8bf2f19f1e6e2c430f39c10ac089b,96,924,10.38961038961039,9600/924,True,Successful configuration-graph checkpoint plus chain_graphs_completed=2; per-curve flag not recorded,output/paper_v1/unified_pilot_results/slots/19/attempts/slot19_67a95ddd348341d08fd3a07c99191bd7/raw_solver.json,raw_result.auxiliary_A,8dd8ae9df7a0ba4387e611280e76cb9493b504047e0de5dc892b9e8a3c9b4266,91,924,9.8484848484848477,9100/924,True,Successful configuration-graph checkpoint plus chain_graphs_completed=2; per-curve flag not recorded,output/paper_v1/unified_pilot_results/slots/19/attempts/slot19_67a95ddd348341d08fd3a07c99191bd7/raw_solver.json,raw_result.auxiliary_B,8dd8ae9df7a0ba4387e611280e76cb9493b504047e0de5dc892b9e8a3c9b4266
1o7j.a__1hfj.c,P2,protein,0.5,22,22,9.4764991396827245,9.5378817026731646,0.99932527237131519,angstrom,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,output/paper_v1/unified_pilot_results/slots/25/attempts/slot25_e5ce743da5d4474f8086789aa234a723,validated,False,True,w=16; endpoint-preserving protein subsampling,adf2fd8e8a19f4f38cd98f9210cd0c52a7e7975d75fa1aedcaceede6333a8fe8,96,924,10.38961038961039,9600/924,True,Successful configuration-graph checkpoint plus chain_graphs_completed=2; per-curve flag not recorded,output/paper_v1/unified_pilot_results/slots/25/attempts/slot25_e5ce743da5d4474f8086789aa234a723/raw_solver.json,raw_result.auxiliary_A,511e4f7ed01afb5e205af592e54189dde37f5454349d0365d40478e4b8d6ed2b,94,924,10.173160173160174,9400/924,True,Successful configuration-graph checkpoint plus chain_graphs_completed=2; per-curve flag not recorded,output/paper_v1/unified_pilot_results/slots/25/attempts/slot25_e5ce743da5d4474f8086789aa234a723/raw_solver.json,raw_result.auxiliary_B,511e4f7ed01afb5e205af592e54189dde37f5454349d0365d40478e4b8d6ed2b
1o7j.a__1qd1.b,P3,protein,0.5,22,22,9.4764991396827245,10.890797290213742,35.978995691931146,angstrom,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,output/paper_v1/expanded_comparison/slots/35/attempts/expanded35_4fea86cbd8a54e25b1f0959f61809ba3,validated,False,True,w=16; endpoint-preserving protein subsampling,0db4258d571d16ecd87674ab010608eefdb2db7e6bb4c4c1ae593171bc0cce2d,96,924,10.38961038961039,9600/924,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/expanded_comparison/slots/35/attempts/expanded35_4fea86cbd8a54e25b1f0959f61809ba3/raw_solver.json,observation.single_graph_A.auxiliary,d0ba23c7dc24f36ca86a008f96d5e6cef4f8243a069123499f255ad4c5a22a28,102,924,11.038961038961039,10200/924,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/expanded_comparison/slots/35/attempts/expanded35_4fea86cbd8a54e25b1f0959f61809ba3/raw_solver.json,observation.single_graph_B.auxiliary,d0ba23c7dc24f36ca86a008f96d5e6cef4f8243a069123499f255ad4c5a22a28
1o7j.a__4eca.d,P4,protein,0.5,22,22,9.4764991396827245,8.7810016068571795,15.364049921814235,angstrom,926bd75812d2daa4cb742c7dbd881611b05dc2d93343e85c35a1267077868b86,output/paper_v1/expanded_comparison/slots/43/attempts/expanded43_11cd981519ea4c5fb33267ed28507b86,validated,False,True,w=16; endpoint-preserving protein subsampling,084511a30b5de8ffac2c336893061fca929326196f1aa71aa8bed6a1ce485047,96,924,10.38961038961039,9600/924,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/expanded_comparison/slots/43/attempts/expanded43_11cd981519ea4c5fb33267ed28507b86/raw_solver.json,observation.single_graph_A.auxiliary,5f1430e7636bbfddd54c835c4800e5580968c938973fc0d541ed44d6dde87f98,75,924,8.1168831168831161,7500/924,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/expanded_comparison/slots/43/attempts/expanded43_11cd981519ea4c5fb33267ed28507b86/raw_solver.json,observation.single_graph_B.auxiliary,5f1430e7636bbfddd54c835c4800e5580968c938973fc0d541ed44d6dde87f98
1o7j.a__1toh.a,P5,protein,0.5,22,22,9.4764991396827245,10.346278485309297,37.128465642953792,angstrom,5e6a2b9a37b78ae69edb4d6f22281db5d47f278893cbaca092fc6164e9b8337e,output/paper_v1/expanded_comparison/slots/51/attempts/expanded51_72e5e9926d3848e6b4761ef7165f51b5,validated,False,True,w=16; endpoint-preserving protein subsampling,ea5a3867416f58d7a06c398539574ff197f17703e2751fa8ed8150de5369b1eb,96,924,10.38961038961039,9600/924,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/expanded_comparison/slots/51/attempts/expanded51_72e5e9926d3848e6b4761ef7165f51b5/raw_solver.json,observation.single_graph_A.auxiliary,fc9b04fa2d31824c6756836b026039949d960ff3489c79a773e41de7b961cfe1,75,924,8.1168831168831161,7500/924,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/expanded_comparison/slots/51/attempts/expanded51_72e5e9926d3848e6b4761ef7165f51b5/raw_solver.json,observation.single_graph_B.auxiliary,fc9b04fa2d31824c6756836b026039949d960ff3489c79a773e41de7b961cfe1
1o7j.a__4eca.b,P6,protein,0.5,22,22,9.4764991396827245,8.7929210914442315,15.184724100226511,angstrom,87bc3a01b5c6351d83a9d76da5b2f97dc170b6c90e59a9fad4988458a096ada9,output/paper_v1/coverage_extension/slots/03/attempts/coverage03_7089725cc44342a1bffd2ef8ac5f17a3,validated,False,True,w=16; endpoint-preserving protein subsampling,e69da130836f8b9942eefdb67b1d1b25dd1037448eab43d9d9f5c5e7b3e5f572,96,924,10.38961038961039,9600/924,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/03/attempts/coverage03_7089725cc44342a1bffd2ef8ac5f17a3/raw_solver.json,observation.single_graph_A.auxiliary,c76e942dcc11c281648d287f890a577543e2bf92a8f5adc2fdd5683c11299cff,75,924,8.1168831168831161,7500/924,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/03/attempts/coverage03_7089725cc44342a1bffd2ef8ac5f17a3/raw_solver.json,observation.single_graph_B.auxiliary,c76e942dcc11c281648d287f890a577543e2bf92a8f5adc2fdd5683c11299cff
1o7j.a__4eca.c,P7,protein,0.5,22,22,9.4764991396827245,8.8299332137661946,15.338020113430543,angstrom,39de7ee2c8cc32da7607c02a6a91687aee0a5a0c52ac9c2a56c4ff02fb4de066,output/paper_v1/coverage_extension/slots/07/attempts/coverage07_0f8bde73980c4f1788a9ad0fca35b21e,validated,False,True,w=16; endpoint-preserving protein subsampling,412e898d996e47f26309dfe62dfebec99c1a706431e1f3f010940953a8f90779,96,924,10.38961038961039,9600/924,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/07/attempts/coverage07_0f8bde73980c4f1788a9ad0fca35b21e/raw_solver.json,observation.single_graph_A.auxiliary,aee6159870d45975a7ae8d6ffe09bf7727140e579eae6ee93f1efe032ec7e8c2,73,924,7.9004329004329001,7300/924,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/07/attempts/coverage07_0f8bde73980c4f1788a9ad0fca35b21e/raw_solver.json,observation.single_graph_B.auxiliary,aee6159870d45975a7ae8d6ffe09bf7727140e579eae6ee93f1efe032ec7e8c2
1o7j.a__1wls.a,P9,protein,0.5,22,22,9.4764991396827245,10.903322740656741,15.999722568438289,angstrom,3e35280d1c981235ff03ba1f9960677a0de32ad9561d8e22a7cb9de8e5677ecb,output/paper_v1/coverage_extension/slots/15/attempts/coverage15_6d6dba71c8234043ad070d96c7f676bc,validated,False,True,w=16; endpoint-preserving protein subsampling,d40e1fede8635feab2504bb6f1d9419a9b8a8f934311ad78bc51cc6d5a17430b,96,924,10.38961038961039,9600/924,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/15/attempts/coverage15_6d6dba71c8234043ad070d96c7f676bc/raw_solver.json,observation.single_graph_A.auxiliary,84cac3086e5a4fdaf7468e12bfb197d89fb3c9af3f0aa0b767c7247ec13bdb8b,104,924,11.255411255411255,10400/924,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/15/attempts/coverage15_6d6dba71c8234043ad070d96c7f676bc/raw_solver.json,observation.single_graph_B.auxiliary,84cac3086e5a4fdaf7468e12bfb197d89fb3c9af3f0aa0b767c7247ec13bdb8b
1o7j.a__2eq5.a,P10,protein,0.5,22,15,9.4764991396827245,9.3784318322480562,41.746555812353641,angstrom,4c34d1b8d5160e061ace244753add2bf13b3efd79790e7d9a6b314d589819d0b,output/paper_v1/coverage_extension/slots/19/attempts/coverage19_2a8ba5eb34294f84ab6d2c2c6d7fce1b,validated,False,True,w=16; endpoint-preserving protein subsampling,e5b8d521d5fdb90aef026b72fcb3ad638d6a321757feee2f4f4afd7a6fb965ac,96,924,10.38961038961039,9600/924,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/19/attempts/coverage19_2a8ba5eb34294f84ab6d2c2c6d7fce1b/raw_solver.json,observation.single_graph_A.auxiliary,43500c90272589b1f1c003fe16004fe5e4151a939d8481020b7cb15871260f5c,45,420,10.714285714285714,4500/420,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/19/attempts/coverage19_2a8ba5eb34294f84ab6d2c2c6d7fce1b/raw_solver.json,observation.single_graph_B.auxiliary,43500c90272589b1f1c003fe16004fe5e4151a939d8481020b7cb15871260f5c
1o7j.a__2zsk.a,P11,protein,0.5,22,16,9.4764991396827245,9.5626521449871529,41.965239971149089,angstrom,3ec5446d75ccd9c280f57f8b26a0d1cc98e8d224da5d5fa3a122540eb7aff2e1,output/paper_v1/coverage_extension/slots/23/attempts/coverage23_53501d6800ad40f29d6023390210ffa3,validated,False,True,w=16; endpoint-preserving protein subsampling,ba9e32b90c12195e21081adc277655c504219186142bc56fe5e50c603d5c2f08,96,924,10.38961038961039,9600/924,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/23/attempts/coverage23_53501d6800ad40f29d6023390210ffa3/raw_solver.json,observation.single_graph_A.auxiliary,2abde2206c664cd689e5b21ccf05b63a04ef5ffaebac7047f7ba35b0d752d708,56,480,11.666666666666666,5600/480,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/23/attempts/coverage23_53501d6800ad40f29d6023390210ffa3/raw_solver.json,observation.single_graph_B.auxiliary,2abde2206c664cd689e5b21ccf05b63a04ef5ffaebac7047f7ba35b0d752d708
1o7j.a__1zq1.a,P12,protein,0.5,22,29,9.4764991396827245,10.1883271809884,61.134314991023842,angstrom,abe5c9f23d524064337134c626eec6262dc0d76df4df10beebde2cb83a9c1b33,output/paper_v1/coverage_extension/slots/27/attempts/coverage27_cbb21cb995de4210aef66e964765c41a,validated,False,True,w=16; endpoint-preserving protein subsampling,2959383aa771907764e4b4857da0d76be3c4f1f2251008606c69b2242c72febd,96,924,10.38961038961039,9600/924,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/27/attempts/coverage27_cbb21cb995de4210aef66e964765c41a/raw_solver.json,observation.single_graph_A.auxiliary,f0e5198fc616c3d49d376f70ae180498bade30f1b35d667c6fc40059d85f430b,113,1624,6.958128078817734,11300/1624,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/27/attempts/coverage27_cbb21cb995de4210aef66e964765c41a/raw_solver.json,observation.single_graph_B.auxiliary,f0e5198fc616c3d49d376f70ae180498bade30f1b35d667c6fc40059d85f430b
1o7j.a__2fep.a,P14,protein,0.5,22,18,9.4764991396827245,10.6776609639852,49.177250432491952,angstrom,d171f0ed7be03baa883be172bf5fe7cfd57fe2ffdce82b27f61f4033476c5648,output/paper_v1/coverage_extension/slots/35/attempts/coverage35_be5a003f7d1b4180b96e8af88864666d,validated,False,True,w=16; endpoint-preserving protein subsampling,f4bdd8242fe02e7a9cc62940344104e5f6c9dfa346b8e423b7b7f8e382b4a688,96,924,10.38961038961039,9600/924,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/35/attempts/coverage35_be5a003f7d1b4180b96e8af88864666d/raw_solver.json,observation.single_graph_A.auxiliary,dd7413a6b61bc7b2075633226a3ce7c3d9f229e7ae0521aa5ca3b46f16b8b858,65,612,10.620915032679738,6500/612,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/coverage_extension/slots/35/attempts/coverage35_be5a003f7d1b4180b96e8af88864666d/raw_solver.json,observation.single_graph_B.auxiliary,dd7413a6b61bc7b2075633226a3ce7c3d9f229e7ae0521aa5ca3b46f16b8b858
